"_airbyte_ab_id","_airbyte_emitted_at","_ab_cdc_deleted_at","_ab_cdc_lsn","_ab_cdc_updated_at","comment","groupSideEffect","value"
"9549724d-2608-483d-84ab-d5315ecb7008",1709771914974,"","","","{""en"": ""Thinning hair"", ""es"": ""Adelgazamiento del cabello""}","general","thinninghair"
"52fb3369-cf94-49c9-bfb9-362c51f3785b",1709771914974,"","","","{""en"": ""Low red blood cell count"", ""es"": ""Recuento bajo de glóbulos blancos""}","general","lowwhitebloodcellcount"
"d17852a0-29b8-4edb-96ce-5ed3645556a8",1709771914974,"","","","{""en"": ""Muscle pain"", ""es"": ""Dolor muscular""}","general","musclepain"
"9454e58d-d5d7-4f70-8951-98b192d8cca8",1709771914974,"","","","{""en"": ""Confusion"", ""es"": ""Confusión""}","general","confusion"
"2639a983-4b45-4a90-ad34-72c8208262e8",1709771914974,"","","","{""en"": ""Painful swelling in legs"", ""es"": ""Hinchazón dolorosa en piernas""}","general","painfullegs"
"70b5b9b8-f0cb-4b27-a343-aac65fd409cb",1709771914974,"","","","{""en"": ""Rash"", ""es"": ""Sarpullido""}","general","rash"
"cabc8d39-b95b-4b92-9113-2382db99c8b9",1709771914974,"","","","{""en"": ""Nausea"", ""es"": ""Náuseas""}","general","nausea"
"578d6be1-b2bb-404b-bb9d-ad8cb62cb670",1709771914974,"","","","{""en"": ""Throat tingling"", ""es"": ""Hormigueo en la garganta""}","general","throattingling"
"5b867f5b-d5fe-419f-9ec8-2db82da42c25",1709771914974,"","","","{""en"": ""Chest pain"", ""es"": ""Dolor en pecho""}","general","chestpain"
"2a125dae-528a-4192-a688-47dbb5aa8877",1709771914974,"","","","{""en"": ""Fever"", ""es"": ""Fiebre""}","general","fever"
"74334689-6265-4b1a-aed7-fbfc0912fdaa",1709771914974,"","","","{""en"": ""Cough"", ""es"": ""Tos""}","general","cough"
"d913d3fe-cc86-4535-86fe-858d25e4ee70",1709771914974,"","","","{""en"": ""Burning feeling feet"", ""es"": ""Sensación de ardor en los pies""}","general","burningfeet"
"474a8b11-1d39-43e6-82fe-d63d7d68a780",1709771914974,"","","","{""en"": ""Swelling legs"", ""es"": ""Hinchazón de piernas""}","general","swellinglegs"
"a660b3dc-d16e-49d9-8e18-c6521eef0102",1709771914974,"","","","{""en"": ""Swelling face"", ""es"": ""Hinchazón de la cara""}","general","swellingface"
"9fec986a-c122-4085-a166-a1e2607c10af",1709771914974,"","","","{""en"": ""Swelling lips"", ""es"": ""Hinchazón de labios""}","general","swellinglips"
"c7fcf0ad-15a9-496a-92b7-42950cb92bee",1709771914974,"","","","{""en"": ""Swelling mouth"", ""es"": ""Hinchazón de la boca""}","general","swellingmouth"
"ee084871-7f54-4e1a-8cb5-bacbc23389ae",1709771914974,"","","","{""en"": ""Swelling tongue"", ""es"": ""Hinchazón de la lengua""}","general","swellingtongue"
"6545daca-a67b-42d0-8163-efaf3ea2a654",1709771914974,"","","","{""en"": ""Swelling throat"", ""es"": ""Hinchazón de la garganta""}","general","swellingthroat"
"133625bb-cd81-4442-88f8-2c19c6981be7",1709771914974,"","","","{""en"": ""Shortness of breath"", ""es"": ""Dificultad para respirar""}","general","shortnessofbreath"
"07d4b035-2d8b-495b-a237-5fd5f42d4cbd",1709771914974,"","","","{""en"": ""Pain"", ""es"": ""Dolor""}","general","pain"
"9aed06cd-1307-42e3-b91b-6bb23a1d7cce",1709771914974,"","","","{""en"": ""Redness"", ""es"": ""Enrojecimiento""}","general","redness"
"d57d9ca3-d2d9-4f6c-9633-348b2c13d44f",1709771914974,"","","","{""en"": ""Tiredness"", ""es"": ""Cansancio""}","general","tiredness"
"768d588b-2612-400e-9b25-762d4886a305",1709771914974,"","","","{""en"": ""Drowsiness"", ""es"": ""Somnolencia""}","general","drowsiness"
"71071fae-066e-4a76-830d-c9df1392382e",1709771914974,"","","","{""en"": ""Sore throat"", ""es"": ""Dolor de garganta""}","general","sorethroat"
"f7d65d4b-c7c4-4e0d-9b78-ac7fb2e7551d",1709771914974,"","","","{""en"": ""Urinate frequently"", ""es"": ""Orinar con frecuencia""}","general","urinatefrequently"
"37f545f0-ff8a-4470-a1e2-220b24d18d64",1709771914974,"","","","{""en"": ""Abdominal pain"", ""es"": ""Dolor abdominal""}","general","abdominalpain"
"322cc693-e634-45e6-9f1b-5140414e2251",1709771914974,"","","","{""en"": ""Slow heartneat"", ""es"": ""Latidos cardíacos lentos""}","general","slowheartbeat"
"ad94fb50-ff03-4802-8ecf-a23f6a752585",1709771914974,"","","","{""en"": ""Fast heartbeat"", ""es"": ""Latidos cardíacos acelerados""}","general","fastheartbeat"
